N° de Bien | Descripcion
66509 | CORNETAS MULTIMEDIA SPEAKER SYSTEM 185W, MOD.: S/N, SER: S/N
96075 | CORNETAS SIRAGON COLOR NEGRO Y PLATEADO SPEAKER SYSTEM 180W, MOD.: S/N, SER.: S/N
112317 | CORNETAS, MARCA TECH
PGEB-BM-39 | BALON REGLAMENTARIO PARA KICKIMBALL, MARCA MOLTEN NO 4
PGEB-BM-38 | BALON REGLAMENTARIO PARA KICKIMBALL, MARCA MOLTEN NO 4
PGEB-BM-255 | BOMBA CENTRIFUGA DE 1HP /110 VD= 1"X 1" MARCA BURFER
PGEB-BM-469 | JUEGO DE RAQUETAS DE PING PONG (2 RAQUETAS), MOD.: S/N, SER.:S/N
PGEB-BM-470 | MALLA DE PING PONG (DONADA POR EL PERSONAL), MOD.: S/N, SER.: S/N
112312 | CORNETAS, MARCA TECH
PGEB-BM-43 | CARRETILLA COLOR ROJO, 110 LTS, H/MACIZA
PGEB-BM-480 | THERMO INDUSTRIAL DECOVAR CON PA/ASO, MOD.: S/N, SER.: S/N	
112321-1 | MOUSE COMBO BLACK
PGEB-BM-507 | SET DE HERRAMIENTAS DE 25 PIEZAS CON LINTERNA, MOD.: S/N, SER: S/N
112331-1 | MOUSE COMBO BLACK
112316-1 | MOUSE COMBO BLACK
112326-1 | MOUSE COMBO BLACK
PGEB-BM-5 | CAVA AMERICANA DE 45,5 LITROS, COLOR BLANCO Y AZUL
PGEB-BM-7 | CAVA AMERICANA DE 45,5 LITROS, COLOR ROJO Y BLANCO
158780-1 | COMBO BASE CORNETAS (A), TECLADO (B) MOUSE C
112311-1 | MOUSE COMBO BLACK
PGEB-BM-282 | PIZARRA ACRILICA 80X60CM
PGEB-BM-392 | PIZARRA PORCELANIZADA TIPO ROTAFQLIO, MOD.: S/N, SER.: S/N
49619 | ESTANDARTE EN TELA CON LOGOTIPO DE LA PROCURADURIA GENERAL DEL ESTADO BARINAS Y CORTINERO DORADO, MOD.: S/N, SER: S/N
PGEB-BM-958 | MESA AUXILIAR EN FORMICA DE 1 GAVETA 80CM LONG* 56 CM ANCHO COLOR PALO DE ROSA
FCB-1745 | GRABADORA DE SONIDO MARCA COBY MODELO CXR190-1G S/N: 1682915191-0939002593 COLOR GRIS
158639 | LINTERNA FLOTANTE MARCA EVEREADY, COLOR ANARANJADO
PGEB-BM-845 | SUMADORA MARCA CASIO DR-120LB IMPRESORA SERIAL Q516019 COLOR NEGRO
159032 | MOUSE USB GENIOS
163811 | MOUSE USA NET
148117 | MOUSE X-TECH USB
159054-3 | TECLADO MULTIMEDIA USB BLAZE XACT
159054-2 | MOUSE OPTICO
120110 | JUEGO DE DOMINO
120112 | JUEGO DE DOMINO
65978 | CINTA METRICA PROFESIONAL DE 50 MTS. COLOR VERDE, MARCA MEASURING TAPE, MOD.: 1 16 FT, SER.:
151544 | MOUSE OPTICO PS/2 LM 7035
PGEB-BM-382 | IMPRESORA MARCA EPSON, LX-300, MOD.: LX-300, SER: S/N
PGEB-BM-408 | IMPRESORA MARCA EPSON, LX-300, MOD.: LX-300, SER: 1 YMY-484621
PGEB-BM-1016 | IMPRESORA HP OFFICE J 3680 4 EN 1 (FAX, IMPRESORA,SCANER, COPIADORA) SERIAL , COLOR BLANCO Y NEGRO
PGEB-BM-389 | IMPRESORA, MARCA EPSON, MOD.: LX-300, SER.: 331299
PGEB-BM-397 | IMPRESORA MARCA EPSON LX-300, MOD.: LX-300, SER.: 1YMY-282188
PGEB-BM-92 | LAPTOP ACER  ASPIRE 4315-2798, SERIAL: LXAKZ0R02281014F682000, DATE: KS 080308
PGEB-BM-93 | REGULADOR OMEGA 1000, MODELO 4A5061
PGEB-BM-145 | SILLA EJECUTIVA PISA SAFA, COLOR AZUL
PGEB-BM-275 | MONITOR LCD 19" BENQ COLOR NEGRO
PGEB-BM-939 | MONITOR  LCD MARCA SAMSUNG 17" MOD SYNC MASTER 733NW, S/N? CM17H9FS509331X COLOR NEGRO
PGEB-BM-376 | PIZARRA PORCELANIZADA, MOD.: S/N, SER: S/N
151543 | MOUSE OPTICO PS/2 LM 7035
PGEB-BM-404 | MESAS PARA COMPUTADORA, EN FORMICA PALO DE ROSA, COD. 120, MOD.: S/N, SER.: S/N	
PGEB-BM-29 | ESCRITORIO MODULAR EN FORMICA GRANADILLO DE 1,30 X 1,30  CON DOS GAVETAS PEQUENAS  Y ARCHIVO CON CERRADURA
PGEB-BM-505 | ESCRITORIO MODULAR EN FORMICA DE 1 ,30 X 1 ,60, ALA DE 1 X 0,50, CON SEPARADOR, COLOR NEGRO Y BEIGE, MOD. S/N, SER: S/N
FCB-1857 | MOUSE OPTICO MARCA OMEGA MODELO: 279367GS, SERIAL:2009000415 COLOR GRIS
116920 | PAPELERA METALICA PARA OFICINA
116921 | PAPELERA METALICA PARA OFICINA
20538 | CUADRO PAISAJE (DEBIDAMENTE ENMARCADOS), MOD.: S/N, SER: S/N
20539 | CUADRO PAISAJE (DEBIDAMENTE ENMARCADOS), MOD.: S/N, SER.: S/N
39017 | REPISA EN FORMICA PALO DE ROSA PARA TELEFONO, MOD.: S/N, SER.: S/N
PGEB-BM-177 | ESCALERA DE ALUMINIO TIPO TIJERA 3 TRAMOS
REG-ES-00275-2 | REGLAMENTO DE LA LEY DE LICITACIONES DEL ESTADO BARINAS, AUTOR: ASAMBLEA DEL ESTADO BARINAS
REG-ES-00275-1 | REGLAMENTO DE LA LEY DE LICITACIONES DEL ESTADO BARINAS, AUTOR: ASAMBLEA DEL ESTADO BARINAS
LNA-00526 | LEY ORGANICA PARA LA PROTECCION AL NINO Y DEL ADOLESCENTE CON SU EXPOSICION DE MOTIVOS
LNA-00530 | LEY SOBRE LA VIOLENCIA CONTRA LA MUJER Y LA FAMILIA
112338 | PUERTA DE METAL CON MEDIA LUNA, COLOR NEGRO MATE, MEDIDAS DE 1,80 X 80
162723 | PROTECTOR ULTRA220 MARCA BREAKERMATIC
162687 | MOUSE
112333 | PROTECTOR P/AIRE ACONDICIONADO 110V EXCELINE C/REGULADOR DE VOLTAJE Y APAGADOR. SERIAL: 28622990
114032 | PROTECTOR DE AIRE ACONDICIONADO POWER PLOG, MARCA EXCELINE, 220V
114031 | PROTECTOR DE AIRE ACONDICIONADO POWER PLOG, MARCA EXCELINE, 220V
156059 | PROTECTOR DE AIRE ACONDICIONADO MARCA TONAL
161411 | PROTECTOR A/A 110V 220V
156063-3 | PERSIANA VERTICAL 1,75 C/RIEL
156063-2 | PERSIANA VERTICAL 1,25 C/RIEL
156063 | PERSIANAS PVC CURVE SIN RIEL
66497 | MONITOR 15", MARCA LG, SVGA, MOD.: S/N, SER.: S/N
49231 | REJILLA DE RETORNO DE 0,30 X 0,45, MOD.: S/N, SER.: S/N
49230 | REJILLA DE RETORNO DE 0,75 X 0,34, MOD.: S/N, SER.: S/N
151541 | MOUSE OPTICO PS/2 LM 7035
159061 | MOUSE, MINI USB,27PC43K, MARCA OMEGA, COLOR NEGRO
49616 | LAMPARA ELECTRICA DE MESA FLUORESCENTE DE UN BOMBILLO, MOD.: S/N, SER.: S/N
FCB-0188 | CORNETA MULTIMEDIA MARCA ZOLTRIXOUND ZR-BAR1 COLOR GRIS
FCB-0187 | CORNETA MULTIMEDIA MARCA ZOLTRIXOUND ZR-BAR1 COLOR GRIS
FCB-1529 | TECLADO MARCA  LEXMA MODELO K6500 SERIAL: S7N-LO7A 11136 COLOR NEGRO
BU-80 | SOPLADORA PORTATIL MARCA TUCSON COLOR VERDE
FCB-1158 | TECLADO MARCA GENIUS KBD KB-12E M/M SPN PS/2 S/SERIAL COLOR NEGRO
FCB-1831 | TECLADO MULTIMEDIA MARCA X-TECH SIN  MODELO, SERIAL: 20090666018054 COLOR NEGRO
FCB-1441 | SWITCT GIGABIT MARCA ENCORE 8 PUERTOS MODELO ENHGS-800 SERIAL:11258070700191 COLOR NEGRO
156090-7 | CORNETA (CASE COMBO MEGA POWER COLOR GRIS)
158812-0 | COMBO BASE CORNETAS (A), TECLADO (B)
158810-0 | COMBO BASE CORNETAS (A), TECLADO (B)
158811-0 | CORNETAS (A)
FCB-0448 | MODEN CANTV, MODELO ARZITUZ
PGEB-BM-203 | TELEFONO PANASONIC, COLOR NEGRO.  MOD.: KX-TS500LXB, SER.: OKBLD080053
156093-7 | CORNETA (CASE COMBO MEGA POWER COLOR GRIS)
PGEB-BM-14 | SUMADORA ELECTRICA, MARCA CANON, 14 DIGITOS, SERIAL NO 20026308
PGEB-BM-915 | SILLA SEMI- EJECUTIVA DE TELA, BASE DE METAL, DOS BRAZOS, DE CINCO RUEDAS, COLOR NEGRO
PGEB-BM-15 | SUMADORA ELECTRICA, MARCA CANON, 14 DIGITOS, SERIAL NO 20026309
PGEB-BM-46 | MESA PARA COMPUTADORA EN VIDRIO U-T83, COLOR AZUL
156057 | UPS FORZMA 750- VA
52307-5 | PORTA LAPIZ
PGEB-BM-40 | SILLA SUPER EJECUTIVA GIRATORIA EN SEMICUERO, CON BRAZOS, COLOR NEGRO
PGEB-BM-917 | SILLA SEMI- EJECUTIVA DE TELA, BASE DE METAL, DOS BRAZOS, 05 RUEDAS, COLOR NEGRO
49188 | MAPA DEL ESTADO BARINAS EN CARTELERA DE CORCHO, MOD.: S/N, SER.: S/N
PGEB-BM-174 | MINI COMPONENTE (RADIO REPRODUCTOR DE CD), MARCA SILVER, MODELO SPED711VCD CON CONTROL
BU-86 | PAPELERA PLASTICA COLOR BEIS
PGEB-BM-455 | JUEGO DE AJEDREZ HANDMADE CHESS BOARD CON TABLERO, FICHAS Y UN PORTA FICHAS., MOD.: S/N, SER: S/N
PGEB-BM-468 | MOTO MARCA SUZUKI, COLOR AZUL, ANO 2002, TIPO PASEO, 1 CILINDRO, PLACA, EAA-877, N? CHASIS, LCGPASA1 120000521 , MOD.: AX-100, SER.: MOTOR: IE50FMG-25781
PGEB-BM-942 | REGULADOR VOLTAJE  MARCA CDP MODELO B-AVR1006 SERIAL:081224-1298303   COLOR NEGRO.
PGEB-BM-290 | SILLA SECRETARIAL VERONA COLOR AZUL	
PGEB-BM-22 | MONITOR AOC 17", BLACK MOD CT720G SAMSUNG 28
PGEB-BM-941 | MONITOR  LCD MARCA SAMSUNG 17" MOD SYNC MASTER 733NW S/N? CM17H9FS508476B  COLOR NEGRO
116947 | BANDEJA DE ESCRITORIO.
156090-8 | MOUSE 
27019 | PAPELERA EN METAL, COLOR MARRON.-, MOD.: S/N, SER.: S/N
40212 | PAPELERA METALICA COLOR MARRON, MOD.: S/N, SER.: S/N
PGEB-BM-1023 | IMPRESORA MARCA SAMSUNG MODELO ML-1665 SERIAL:Z508BKEZ700541B COLOR NEGRO
PGEB-BM-418 | RETROPROYECTOR FIJO, 3M, MOD.: 9080, SER: S/N
96068 | TECLADO WIN SIRAGON, PS2 COLOR NEGRO Y PLATEADO, MOD.: S/N, SER: S/N
PGEB-BM-996 | CPU INCLUYE LOS SIGUIENTES COMPONENTES INTERNOS,PROCESADOR ADM SEMPRON DUAL CORE  2,66 S/N=2536685,TARJETA MADRE ASROCK MODELO N68-S INTEL   SERIAL: 96MOX6078917,DISCO DURO WESTERN DIGITAL 160 GB SATA SERIAL: 514OJ905C04550,MEMORIA DDR 2GB 800MHZ BUS-667 MARVISI SERIAL:PC640045055039112701,QUEMADORA DVD S/MARCA  SERIAL: 364954070803743224126,CHASIS GENERICO P4  COLOR NEGRO
PGEB-BM-287 | SILLA SECRETARIAL VERONA COLOR AZUL	
PGEB-BM-288 | SILLA SECRETARIAL VERONA COLOR AZUL	
PGEB-BM-289 | SILLA SECRETARIAL VERONA COLOR AZUL	
21987 | ESCRITORIO EN FORMICA PALO DE ROSA, 2 GAVETAS CON CERRADURA DE 1 ,20 X 0,73 X 0,70, MOD.: S/N, SER: S/N
PGEB-BM-442 | SILLAS VISITANTE EN SEMI CUERO S/BRAZOS, LINEA CROMADA, MOD.: S/N, SER.: S/N
PGEB-BM-248 | ESTACION EJECUTIVO DE TRABAJO COLOR GRIS
PGEB-BM-79 | FAX TELEFONO, MARCA PANASONIC, COLOR NEGRO, NO FT931LA, SERIAL 7FBWA150395
PGEB-BM-378 | FAX PHONE II, MARCA CANON, AUTOMATICO Y MANUAL, COLOR BEIGE, MOD.: 1 1 , SER.: UMN-30735
PGEB-BM-425 | SCANER PAGINA COMPLETA MARCA GENIUS, MOD.: 9600, SER.: K69876014032
PGEB-BM-303 | SUMADORA CASIO DR-120	
PGEB-BM-297 | CAMARA DIGITAL SAMSUNG ST.	
FCB-0908 | ESCALERA DE ALUMINIO DE 1,85 MTS DE ALTO.
FCB-0104197 | ESCRITORIO DOS GAVETAS PALO DE ROSA
FCB-0574-1 | ESCRITORIO PEQUENO
148136 | ELECTRO BOMBA CENT. 1.0 HP  115V/230V 1X1
114057-4 | DISCO DURO  80 GB 7200 RAM IDE HITACHI 1B
159058 | AIRE ACONDICIONADO DE VENTANA LG 18000 BTU, SERIAL: 012TAPE02536, MOD. W182CA
55437 | AIRE ACONDICIONADO TIPO SPLIT, MARCA TEMPCO, 3 TONELADAS, MOTOR 1 ,6, MOD.: CDLVO2IF, SER: 0796224
3282 | ARCHIVO METALICO, LINEA GRIS, 4 GAVETAS., MOD.: S/N, SER: S/N
159022 | FUENTE DE PODER
116956 | OFITECH DESTRUCTORA PAPEL 1204 CC.  (NO GA000400)
PGEB-BM-304 | ARCHIVADOR VERTICAL 4 GAVETAS COLOR GRIS	
52303-5 | PORTA CLIPS ACRILICO.
52303-3 | PERFORADORA PEQUE�A COLOR VERDE.
PGEB-BM-284 | SILLA SECRETARIAL VERONA COLOR AZUL	
PGEB-BM-285 | SILLA SECRETARIAL VERONA COLOR AZUL	
PGEB-BM-286 | SILLA SECRETARIAL VERONA COLOR AZUL	
PGEB-BM-291 | SILLA SECRETARIAL VERONA COLOR AZUL	
PGEB-BM-292 | SILLA SECRETARIAL VERONA COLOR AZUL	
PGEB-BM-293 | SILLA EJECUTIVA PISA COLOR AZUL	
PGEB-BM-294 | SILLA EJECUTIVA PISA COLOR AZUL	
PGEB-BM-295 | SILLA EJECUTIVA PISA COLOR AZUL	
PGEB-BM-296 | SILLA EJECUTIVA PISA COLOR AZUL	
114043 | PAPELERA ACRILICA
BU-167 | TECLADO MARCA APSU, COLOR CRIS CON TECLAS NEGRAS.
BU-162699 | TECLADO
BU-168 | GRAPADORA CROMADA ACE CLIPPER.
BU-242 | TECLADO COLOR NEGRO
BU-171 | PORTA CELOVEN
21980 | TELEFONO COLOR BEIGE
52304-3 | PERFORADORA GRANDE GRIS CLARA.
52312-3 | PERFORADORA PEQUE�A GRIS
BU-174 | MOUSE GENIUS NEGRO OPTICO USB
PGEB-BM-307 | CALCULADORA MARCA CASIO MODELO 120TMBK	
PGEB-BM-298 | ESTANTE ESQUELETICO	
PGEB-BM-299 | ESTANTE ESQUELETICO	
PGEB-BM-305 | RELOG BIEMETRICO
PGEB-BM-306 | CALCULADORA MARCA CASIO MODELO 120TMBK	
BU-175 | MOUSE OPTICO ESTANDARD, COLOR NEGRO
BU-176 | SACAGRAPAS NEGRO
BU-62 | PERFORADORA MARCA RANK 1040 COLOR NEGRO/BLANCO
BU-60 | TECLADO MARCA MEGAPOWER COLOR NEGRO
BU-61 | ENGRAPADORA METALICA MARCA MAXI 2200 COLOR ROJO
BU-63 | ENGRAPADORA METALICA MARCA ACE CLIPER
BU-65 | MOUSE, COLOR NEGRO
BU-64 | PORTA TACOS, ACRILICO COLOR MARRON
BU-177 | GRAPADORA MARCA OFFICE LINE
BU-66 | TECLADO, COLOR NEGRO
BU-67 | PERFORADORA, COLOR NEGRO
BU-68 | ENGRAPADORA METALICA
BU-69 | ENGRAPADORA METALICA, COLOR AZUL
52307-3 | PORTA TACOS, ACRILICO COLOR MARRON
114040 | PAPELERA ACRILICA COLOR MARRON
BU-72 | PAPELERA PLASTICA, COLOR BEIS
BU-73 | MOUSE OPTICO COLOR NEGRO
BU-74 | BANDEJA ACRILICA TRES NIVELES  COLOR NEGRO
BU-79 | ENGRAPADORA COLOR VINO
B-78 | BANDEJA ACRILICA 
BU-75 | TECLADO MARCA GENIUS COLOR NEGRO MODELO KB-06XE
BU-76 | MOUSE MARCA USA NET COLOR NEGRO
BU-77 | BANDEJA ACRILICA DOS NIVELES
BU-178 | PORTA CLIPS METALICO
BU-78 | BANDEJA ACRILICA DOS NIVELES
BU-81 | CAJA DE HERRAMIENTAS MARCA BOSSMAN 14" COLOR NEGRO C/ AMARILLO
BU-85 | TECLADO   MARCA GENIUS,  COLOR NEGRO
BU-88 | SWICHE DE 24 PUERTOS MARCA CNET. POWER SWITCH COLOR BLANCO
BU-82 | SWICHE MARCA ADVANTEK 16 PUERTOS COLOR NEGRO
BU-83 | SWICHE MARCA ADVANTEK 16 PUERTOS COLOR NEGRO
BU-51 | MOUSE MARCA MICROSOFT, COLOR NEGRO
BU-52 | TECLADO SLENDER DESTOSKTOP�KEYBORD GENIUS, COLOR NEGRO
BU-53 | PENDRIVER DE 4GB SANDISK
BU-54 | PENDRIVER 4GB MARCA SANDISK
BU-179 | PORTA SOBRE
BU-84 | TECLADO MARCA GENIUS, MODELO K639-KB-06XE  COLOR NEGRO
BU-55 | SWICHE DE 24 PUERTOS MARCA NEXXT COLOR BLANCO
BU-56 | PERFOPRADORA MARCA RANK 1050 COLOR NEGRO
BU-57 | TECLADO MARCA OMEGA COLOR BLANCO
BU-58 |  PORTASELLOS ACRILICO RAY BAN
BU-59 | PROTECTOR DE AIRE ACONDICIONADO MARCA EXCELINE 220
BU-100 | TECLADO AIRTEG MOD: DLK-3100	
BU-101 | CORNETAS AITEG COLOR NEGRO
114038 | PAPELERA ACRILICA COLOR MARRON
BU-102 | PORTA CLIPS, COLOR NEGRO
BU-103 | PORTA LAPIZ METALICO
BU-104 | PORTA CELOVEN, COLOR ANARANJADO
BU-105 | PERFORADORA OFFICE LINE, COLOR NEGRO
BU-106 | GRAPADORA COLOR AZUL
BU-107 | PORTA CLIPS ACRILICO COLOR NECRO
BU-180 | MOUSE 4TECH NEGRO OPTICO	
BU-108 | SELLO EN CAUCHO CON MADERA DE LA PROCURADUR�A GENERAL DEL ESTADO BARINAS
BU-109 | PORTA SELLO ACRILICO COLOR NEGRO
BU-110 | SELLO DE VISADO
BU-111 | SELLO DE RECIBIDO
BU-112 | SELLO DE PROYECTO DE DOCUMENTO
BU-113 | SELLO DE ANULADO EN CAUCHO CON MADERA
114037 | PAPELERA ACRILICA
120083-1  | MOUSE BENQ COLOR NEGRO. MODELO: M800-P2M. SERIAL: 9JQ488P2M65604978SA0000
120111-1 | TECLADO COLOR CON GRIS N� 070402650
BU-114 | GRAPADORA GROMADA
BU-115 | MOUSE. COLOR: NEGRO.
BU-116 | PORTA CLIPS ACRILICO. TAPA AZUL
BU-117 | PORTA CLIPS ACRILICO TAPA AZUL
BU-118 | GRAPADORA MAXI-2200, COLOR NEGRO
BU-119 | GRAPADORA STUDMARK-ST-4351
BU-120 | PERFORADORA SOLITA MAXI-2078
BU-123 | PORTA CLIPS ACRILICO, COLOR NEGRO.
BU-124 | GRAPADORA ACE CLIPPER 702 STAPLING PLIER
BU-125 | PAPELERA PLASTICA, COLOR BEIG.
BU-126 | PORTASOBRE METALICO 
BU-127 | GRAPADORA ACE CLIPPER, PLATEADA.
BU-128 | PORTA CLIPS, TAPA COLOR NEGRO.
BU-96105 | CORNETAS NEGRO CON GRIS
52300-4 | PORTA TACOS
BU-181 | PORTA CLIPS TAPA AZUL
BU-182 | ENGRAPADORA CROMADA
65959 | CORNETAS
BU-70 | PORTA CLIPS, TAPA NEGRA.
BU-71 | SELLO DE NOMINA, PRINTER 30 MARCA COLOP.
156092 | GRAPADORA ACE CLIPPER, CROMADA.
151543-A | MOUSE COLOR GRIS CON NEGRO
116948 | BANDEJA ACRILICA, COLOR NEGRO.
52310-1 | PORTA PAPEL
BU-129 | PORTA CELOVEN, ACRILICO, COLOR VERDE.
BU-130 | PORTA SOBRE METALICO
BU-183 | MOUSE NEGRO OPTICO STANDARS USB
BU-131 | PORTA LAPIZ, METALICO.
BU-132 | PORTA CLIPS, METALICO.
BU-133 | PERFORADORA PEQUE�A,COLOR NEGRO.
BU-134 | GRAPADORA PEQUE�A, COLOR NEGRO.
151520-5B | TECLADO GIGABYTE
BU-135 | GRAPADORA, RAPID CLASSIC, CROMADA.
BU-237 | PENDRIVE ROJO CON NEGRO
52303-4 | PORTA CLIPS, ACRILICO.
BU-184 | ENGRAPADORA CROMADA
BU-187 | LAMPARA DE MESA COLOR NEGRO
52310-4 | PORTA TACOS
BU-136 | PORTA CELOVEN, ACRILICO, COLOR NARANJA.
BU-185 | PORTA CLIP TAPA ROJA
BU-137 | PORTA LAPICES, CUADRADO DE PLASTICO.
BU-138 | PORTA CLIPS, CUADRADO, TRANSPARENTE TAPA AZUL.
BU-139 | SELLO DE LA DIRECCI�N DE PERSONAL, PLASTICO, COLOR NEGRO CON BLANCO.
BU-238 | MOUSE COLOR NEGRO
BU-140 | SELLO RECTANGULAR, RECIBIDO DE DIRECCION DE PERSONAL.
BU-198 | PORTA LAPICES NEGRO
BU-141 | SELLO DE CERTIFICACI�N, RECTANGULAR GRANDE.
BU-142 | PORTA CLIPS, REDONDO METALIZADO.
162719-1 | TECLADO, MODELO: DLK-3100, COLOR: NEGRO. 
162719-2 | MOUSE, COLOR: NEGRO. 
109032 | MOUSE, COLOR: NEGRO CON GRIS, SERIAL N� X65074004734.
BU-143 | TECLADO, MODELO N� K639 
52294-4 | PORTA LAPIZ TRIANGULAR, 
52305-3 | PORTA LAPIZ RECTANGULAR.
BU-144 | SACA GRAPAS AZUL	
162719-3 | CORNETAS AITEG MODEL Q1
BU-276 | ENGRAPADORA COLOR NEGRO
BU-186 | PERFORADORA NEGRA CON GRIS
BU-188 | ENGRAPADORA
BU-189 | PERFORADORA
BU-190 | TECLADO COLOR NEGRO
BU-191 | TECLADO COLOR NEGRO
BU-192 | MOUSE
BU-193 | PAPELERA PLASTICA COLOR NEGRO
BU-196 | MOUSE MICROSOFT TIPO BASICO OPTICO V.2.0
BU-197 | TECLADO
BU-236 | ENGRAPADORA COLOR NEGRO	
BU-199 | ENGRAPADORA
BU-235 | CORNETAS NEGRO CON GRIS
BU-52299-5 | PORTA TACOS
BU-145 | MOUSE OPTICO TECNOPART USB MODEL: TEP-800 COLOR NEGRO	
BU-200 | PORTA LAPIZ
116934-2 | CORNETAS
BU-239 | TECLADO COLOR NEGRO
BU-277 | MOUSE	
BU-146 | GRAPADORA METALICA STAPLER, COLOR: NEGRO. 
BU-147 | PORTA CLIPS, TAPA COLOR NEGRO.
PGEB-BM-310 | COMPUTADOR PORTATIL, MARCA VIT MODELO VIT P2402-02 A000767590	
PGEB-BM-312 | COMPUTADOR PORTATIL, MARCA VIT MODELO VIT P2402-02 A000767466
PGEB-BM-311 | COMPUTADOR PORTATIL, MARCA VIT MODELO VIT P2402-02 A000767607
BU-148 | PORTA CELOVEN.
BU-149 | PORTA CLIPS PLASTICO.
BU-150 | PORTA LIPIZ
BU-151 | GRAPADORA ACE CLIPPER
BU-152 | PERFORADORA
52310-3 | PORTA CLIPS
BU-153 | BANDEJA
BU-154 | PORTA SOBRE ACRILICO
BU-155 | BANDEJA PLASTICA TRANSPARENTE. 
BU-156 | CORNETAS
BU-157 | PORTA CLIPS, COLOR AZUL CON NEGRO.
BU-158 | PORTA LAPIZ TRANSPARENTE.
BU-159 | GRAPADORA 
BU-160 | PERFORADORA, MARCA OFICA, COLOR AZUL.
161493-0 | MOUSE MARCA GENIUS COLOR NEGRO
BU-234 | TECLADO COLOR NEGRO
52298-1 | PORTA PAPEL
BU-275 | BANDEJA ACRILICA
BU-201 | PORTA LAPIZ
BU-202 | PORTA CELOVEN
BU-203 | ENGRAPADORA
BU-204 | MOUSE
BU-278 | DESTORNILLADOR	
BU-205 | PERFORADORA
BU-52294-1 | BANDEJA
BU-109261 | CORNETAS
BU-206 | PORTA SOBRES
BU-207 | ENGRAPADORA
BU-208 | BANDEJA DE METAL
BU-209 | PAPELERA METALICA
BU-210 | BRAZO HIDRAULICO
BU-211 | BANDEJA ACRILICA
BU-165 | PORTA CELOVEN
BU-212 | PERFORADORA
BU-213 | PERFORADORA
BU-214 | ENGRAPADORA
BU-215 | PORTA CELOVEN
BU-216 | PORTA LAPIZ
BU-217 | PORTA CLIPS
BU-148102 | ENGRAPADORA
BU-52304-2 | PORTA CLIPS
BU-218 | PORTA CELOVEN
BU-219 | MOUSE COLOR NEGRO
BU-220 | TECLADO COLOR NEGRO
BU-66505 | TECLADO COLOR BLANCO
BU-227 | TECLADO COLOR NEGRO	
BU-221 | MOUSE COLOR NEGRO	
BU-232 | ENGRAPADORA COLOR AZUL	
BU-228 | TECLADO COLOR NEGRO	
BU-231 | ENGRAPADORA COLOR AZUL	
BU-230 | ENGRAPADORA COLOR AZUL	
BU-224 | PENDRIVE ROJO Y NEGRO 4GB
BU-229 | TECLADO COLOR NEGRO	
BU-223 | MOUSE COLOR NEGRO	
BU-226 | PENDRIVE ROJO Y NEGRO 4GB
BU-222 | MOUSE COLOR NEGRO	
BU-225 | PENDRIVE ROJO Y NEGRO 4GB
BU-233 | SWICHT TP-LINK DE 5 PUERTOS
BU-274 | TECLADO COLOR NEGRO
PGEB-BM-1086 | BOMBA CENTRIFUGADORA 2090369 1'X1' 3/4 HP 110V	
PGEB-BM-333 | CPU VIT 1201/COLOR NEGRO CON ACABOS BRILLANTES.
30802 | CUADRO DE LITOGRAFIA DEBIDAMENTE ENMARCADA, MUSEO ARTE CONTEMP. DE CARACAS 1990, ANGEL HURTADO, MOD.: S/N, SER: S/N	
112336 | PUERTA DE VIDRIO CON MARCO DE ALUMINIO, CERRADURA, MANILLAS Y PAPEL AHUMADO
156065 | PROTECTOR DE AIRE ACONDICIONADO
PGEB-BM-1082 | REGULADOR DE VOLTAJE 1000 VA, MARCA CDP (CHICAGO DIGITAL POWER)	
PGEB-BM-854 | PIZARRA ACRILICA (80 CM ALTO X 1,20 MT LARGO) ENMARCADA EN ALUMINIO
PGEB-BM-1076 | ESCRITORIO MODULAR EN FORMICA DE 1 ,30 X 1 ,60, ALA DE 1 X 0,50, CON SEPARADOR, COLOR NEGRO Y BEIGE, MOD. S/N, SER.: S/N
96086 | ESCRITORIO MODULAR EN FORMICA DE 1 ,30 X 1 ,60, ALA DE 1 X 0,50, CON SEPARADOR, COLOR NEGRO Y BEIGE, MOD. S/N, SER.: S/N
PGEB-BM-859 | PIZARRA ACRILICA MARCO DE METAL (1,20 CM LARGO X 0,80 CM DE ANCHO) COLOR BLANCO.
PGEB-BM-246 | MUEBLE AERIOS TIPO FLIPER CON PUERTA  Y CERRADURA (90X89X33) CTMS COLOR GRIS	
PGEB-BM-381 | ARCHIVO EN FORMICA PALO DE ROSA, 3 GAVETAS, CON CERRADURA., MOD.: S/N, SER: S/N
PGEB-BM-30 | ESCRITORIO MODULAR EN FORMICA GRANADILLO DE 1,30 X 1,30  CON DOS GAVETAS PEQUENAS  Y ARCHIVO CON CERRADURA	
PGEB-BM-245 | MUEBLE AERIOS TIPO FLIPER CON PUERTA  Y CERRADURA (90X89X33) CTMS COLOR GRIS	
PGEB-BM-396 | ARCHIVO EN FORMICA PALO DE ROSA, BRAZAN ZUI, 2 GAVETAS, CON CERRADURA., MOD.: S/N, SER: S/N	
PGEB-BM-223 | TELEFONO CELULAR MARCA: HUAXWEI G 5760, IMEI 862796000383232
PGEB-BM-192 | BIBLIOTECA YUMAR ML60 1I6
PGEB-BM-193 | BIBLIOTECA YUMAR ML60 1I6
PGEB-BM-233 | BIBLIOTECA MODELO CANAIMA
PGEB-BM-242 | BIBLIOTECA PEQUENA TIPO ARCHIVO COLOR GRIS	
